Name                                                                                                                             Owner                                                                                                                            Object_type
sysftsemanticsdb                                                                                                                 sys                                                                                                                              system table
sysftstops                                                                                                                       sys                                                                                                                              system table
sysguidrefs                                                                                                                      sys                                                                                                                              system table
sysidxstats                                                                                                                      sys                                                                                                                              system table
sysiscols                                                                                                                        sys                                                                                                                              system table
syslnklgns                                                                                                                       sys                                                                                                                              system table
sysmultiobjrefs                                                                                                                  sys                                                                                                                              system table
sysnsobjs                                                                                                                        sys                                                                                                                              system table
sysobjkeycrypts                                                                                                                  sys                                                                                                                              system table
sysobjvalues                                                                                                                     sys                                                                                                                              system table
sysowners                                                                                                                        sys                                                                                                                              system table
sysphfg                                                                                                                          sys                                                                                                                              system table
syspriorities                                                                                                                    sys                                                                                                                              system table
sysprivs                                                                                                                         sys                                                                                                                              system table
syspru                                                                                                                           sys                                                                                                                              system table
sysprufiles                                                                                                                      sys                                                                                                                              system table
sysqnames                                                                                                                        sys                                                                                                                              system table
sysremsvcbinds                                                                                                                   sys                                                                                                                              system table
sysrmtlgns                                                                                                                       sys                                                                                                                              system table
sysrowsetrefs                                                                                                                    sys                                                                                                                              system table
sysrowsets                                                                                                                       sys                                                                                                                              system table
sysrscols                                                                                                                        sys                                                                                                                              system table
sysrts                                                                                                                           sys                                                                                                                              system table
sysscalartypes                                                                                                                   sys                                                                                                                              system table
sysschobjs                                                                                                                       sys                                                                                                                              system table
sysseobjvalues                                                                                                                   sys                                                                                                                              system table
syssingleobjrefs                                                                                                                 sys                                                                                                                              system table
syssoftobjrefs                                                                                                                   sys                                                                                                                              system table
syssqlguides                                                                                                                     sys                                                                                                                              system table
systypedsubobjs                                                                                                                  sys                                                                                                                              system table
sysusermsgs                                                                                                                      sys                                                                                                                              system table
syswebmethods                                                                                                                    sys                                                                                                                              system table
sysxlgns                                                                                                                         sys                                                                                                                              system table
sysxmitbody                                                                                                                      sys                                                                                                                              system table
sysxmitqueue                                                                                                                     sys                                                                                                                              system table
sysxmlcomponent                                                                                                                  sys                                                                                                                              system table
sysxmlfacet                                                                                                                      sys                                                                                                                              system table
sysxmlplacement                                                                                                                  sys                                                                                                                              system table
sysxprops                                                                                                                        sys                                                                                                                              system table
sysxsrvs                                                                                                                         sys                                                                                                                              system table
sp_add_agent_parameter                                                                                                           sys                                                                                                                              stored procedure
sp_add_agent_profile                                                                                                             sys                                                                                                                              stored procedure
sp_add_data_file_recover_suspect_db                                                                                              sys                                                                                                                              stored procedure
sp_add_log_file_recover_suspect_db                                                                                               sys                                                                                                                              stored procedure
sp_add_log_shipping_alert_job                                                                                                    sys                                                                                                                              stored procedure
sp_add_log_shipping_primary_database                                                                                             sys                                                                                                                              stored procedure
sp_add_log_shipping_primary_secondary                                                                                            sys                                                                                                                              stored procedure
sp_add_log_shipping_secondary_database                                                                                           sys                                                                                                                              stored procedure
sp_add_log_shipping_secondary_primary                                                                                            sys                                                                                                                              stored procedure
sp_addapprole                                                                                                                    sys                                                                                                                              stored procedure
sp_addarticle                                                                                                                    sys                                                                                                                              stored procedure
sp_adddatatype                                                                                                                   sys                                                                                                                              stored procedure
sp_adddatatypemapping                                                                                                            sys                                                                                                                              stored procedure
sp_adddistpublisher                                                                                                              sys                                                                                                                              stored procedure
sp_adddistributiondb                                                                                                             sys                                                                                                                              stored procedure
sp_adddistributor                                                                                                                sys                                                                                                                              stored procedure
sp_adddynamicsnapshot_job                                                                                                        sys                                                                                                                              stored procedure
sp_addextendedproc                                                                                                               sys                                                                                                                              stored procedure
sp_addextendedproperty                                                                                                           sys                                                                                                                              stored procedure
sp_addlinkedserver                                                                                                               sys                                                                                                                              stored procedure
sp_addlinkedsrvlogin                                                                                                             sys                                                                                                                              stored procedure
sp_addlogin                                                                                                                      sys                                                                                                                              stored procedure
sp_addlogreader_agent                                                                                                            sys                                                                                                                              stored procedure
sp_addmergealternatepublisher                                                                                                    sys                                                                                                                              stored procedure
sp_addmergearticle                                                                                                               sys                                                                                                                              stored procedure
sp_addmergefilter                                                                                                                sys                                                                                                                              stored procedure
sp_addmergelogsettings                                                                                                           sys                                                                                                                              stored procedure
sp_addmergepartition                                                                                                             sys                                                                                                                              stored procedure
sp_addmergepublication                                                                                                           sys                                                                                                                              stored procedure
sp_addmergepullsubscription                                                                                                      sys                                                                                                                              stored procedure
sp_addmergepullsubscription_agent                                                                                                sys                                                                                                                              stored procedure
sp_addmergepushsubscription_agent                                                                                                sys                                                                                                                              stored procedure
sp_addmergesubscription                                                                                                          sys                                                                                                                              stored procedure
sp_addmessage                                                                                                                    sys                                                                                                                              stored procedure
sp_addpublication                                                                                                                sys                                                                                                                              stored procedure
sp_addpublication_snapshot                                                                                                       sys                                                                                                                              stored procedure
sp_addpullsubscription                                                                                                           sys                                                                                                                              stored procedure
sp_addpullsubscription_agent                                                                                                     sys                                                                                                                              stored procedure
sp_addpushsubscription_agent                                                                                                     sys                                                                                                                              stored procedure
sp_addqreader_agent                                                                                                              sys                                                                                                                              stored procedure
sp_addqueued_artinfo                                                                                                             sys                                                                                                                              stored procedure
sp_addremotelogin                                                                                                                sys                                                                                                                              stored procedure
sp_addrole                                                                                                                       sys                                                                                                                              stored procedure
sp_addrolemember                                                                                                                 sys                                                                                                                              stored procedure
sp_addscriptexec                                                                                                                 sys                                                                                                                              stored procedure
sp_addserver                                                                                                                     sys                                                                                                                              stored procedure
sp_addsrvrolemember                                                                                                              sys                                                                                                                              stored procedure
sp_addsubscriber                                                                                                                 sys                                                                                                                              stored procedure
sp_addsubscriber_schedule                                                                                                        sys                                                                                                                              stored procedure
sp_addsubscription                                                                                                               sys                                                                                                                              stored procedure
sp_addsynctriggers                                                                                                               sys                                                                                                                              stored procedure
sp_addsynctriggerscore                                                                                                           sys                                                                                                                              stored procedure
sp_addtabletocontents                                                                                                            sys                                                                                                                              stored procedure
sp_addtype                                                                                                                       sys                                                                                                                              stored procedure
sp_addumpdevice                                                                                                                  sys                                                                                                                              stored procedure
sp_adduser                                                                                                                       sys                                                                                                                              stored procedure
sp_adjustpublisheridentityrange                                                                                                  sys                                                                                                                              stored procedure
sp_altermessage                                                                                                                  sys                                                                                                                              stored procedure
sp_approlepassword                                                                                                               sys                                                                                                                              stored procedure
sp_article_validation                                                                                                            sys                                                                                                                              stored procedure
sp_articlecolumn                                                                                                                 sys                                                                                                                              stored procedure
sp_articlefilter                                                                                                                 sys                                                                                                                              stored procedure
sp_articleview                                                                                                                   sys                                                                                                                              stored procedure
sp_assemblies_rowset                                                                                                             sys                                                                                                                              stored procedure
sp_assemblies_rowset_rmt                                                                                                         sys                                                                                                                              stored procedure
sp_assemblies_rowset2                                                                                                            sys                                                                                                                              stored procedure
sp_assembly_dependencies_rowset                                                                                                  sys                                                                                                                              stored procedure
sp_assembly_dependencies_rowset_rmt                                                                                              sys                                                                                                                              stored procedure
sp_assembly_dependencies_rowset2                                                                                                 sys                                                                                                                              stored procedure
sp_attach_db                                                                                                                     sys                                                                                                                              stored procedure
sp_attach_single_file_db                                                                                                         sys                                                                                                                              stored procedure
sp_attachsubscription                                                                                                            sys                                                                                                                              stored procedure
sp_autostats                                                                                                                     sys                                                                                                                              stored procedure
sp_bcp_dbcmptlevel                                                                                                               sys                                                                                                                              stored procedure
sp_bindefault                                                                                                                    sys                                                                                                                              stored procedure
sp_bindrule                                                                                                                      sys                                                                                                                              stored procedure
sp_browsemergesnapshotfolder                                                                                                     sys                                                                                                                              stored procedure
sp_browsereplcmds                                                                                                                sys                                                                                                                              stored procedure
sp_browsesnapshotfolder                                                                                                          sys                                                                                                                              stored procedure
sp_can_tlog_be_applied                                                                                                           sys                                                                                                                              stored procedure
sp_catalogs                                                                                                                      sys                                                                                                                              stored procedure
sp_catalogs_rowset                                                                                                               sys                                                                                                                              stored procedure
sp_catalogs_rowset_rmt                                                                                                           sys                                                                                                                              stored procedure
sp_catalogs_rowset2                                                                                                              sys                                                                                                                              stored procedure
sp_cdc_add_job                                                                                                                   sys                                                                                                                              stored procedure
sp_cdc_change_job                                                                                                                sys                                                                                                                              stored procedure
sp_cdc_cleanup_change_table                                                                                                      sys                                                                                                                              stored procedure
sp_cdc_dbsnapshotLSN                                                                                                             sys                                                                                                                              stored procedure
sp_cdc_disable_db                                                                                                                sys                                                                                                                              stored procedure
sp_cdc_disable_table                                                                                                             sys                                                                                                                              stored procedure
sp_cdc_drop_job                                                                                                                  sys                                                                                                                              stored procedure
sp_cdc_enable_db                                                                                                                 sys                                                                                                                              stored procedure
sp_cdc_enable_table                                                                                                              sys                                                                                                                              stored procedure
sp_cdc_generate_wrapper_function                                                                                                 sys                                                                                                                              stored procedure
sp_cdc_get_captured_columns                                                                                                      sys                                                                                                                              stored procedure
sp_cdc_get_ddl_history                                                                                                           sys                                                                                                                              stored procedure
sp_cdc_help_change_data_capture                                                                                                  sys                                                                                                                              stored procedure
sp_cdc_help_jobs                                                                                                                 sys                                                                                                                              stored procedure
sp_cdc_restoredb                                                                                                                 sys                                                                                                                              stored procedure
sp_cdc_scan                                                                                                                      sys                                                                                                                              stored procedure
sp_cdc_start_job                                                                                                                 sys                                                                                                                              stored procedure
sp_cdc_stop_job                                                                                                                  sys                                                                                                                              stored procedure
sp_cdc_vupgrade                                                                                                                  sys                                                                                                                              stored procedure
sp_cdc_vupgrade_databases                                                                                                        sys                                                                                                                              stored procedure
sp_certify_removable                                                                                                             sys                                                                                                                              stored procedure
sp_change_agent_parameter                                                                                                        sys                                                                                                                              stored procedure
sp_change_agent_profile                                                                                                          sys                                                                                                                              stored procedure
sp_change_log_shipping_primary_database                                                                                          sys                                                                                                                              stored procedure
sp_change_log_shipping_secondary_database                                                                                        sys                                                                                                                              stored procedure
sp_change_log_shipping_secondary_primary                                                                                         sys                                                                                                                              stored procedure
sp_change_subscription_properties                                                                                                sys                                                                                                                              stored procedure
sp_change_users_login                                                                                                            sys                                                                                                                              stored procedure
sp_changearticle                                                                                                                 sys                                                                                                                              stored procedure
sp_changearticlecolumndatatype                                                                                                   sys                                                                                                                              stored procedure
sp_changedbowner                                                                                                                 sys                                                                                                                              stored procedure
sp_changedistpublisher                                                                                                           sys                                                                                                                              stored procedure
sp_changedistributiondb                                                                                                          sys                                                                                                                              stored procedure
sp_changedistributor_password                                                                                                    sys                                                                                                                              stored procedure
sp_changedistributor_property                                                                                                    sys                                                                                                                              stored procedure
sp_changedynamicsnapshot_job                                                                                                     sys                                                                                                                              stored procedure
sp_changelogreader_agent                                                                                                         sys                                                                                                                              stored procedure
sp_changemergearticle                                                                                                            sys                                                                                                                              stored procedure
sp_changemergefilter                                                                                                             sys                                                                                                                              stored procedure
sp_changemergelogsettings                                                                                                        sys                                                                                                                              stored procedure
sp_changemergepublication                                                                                                        sys                                                                                                                              stored procedure
